scaffold	begin	end	transposable	taxonomy	vog
NZ_CP027611.1	1484	13846	False	Siphoviridae	VOG0376, VOG4860, VOG3428, VOG3427, VOG0704, VOG0539, VOG4589, VOG0204, VOG9227, VOG4553, VOG4573, VOG5251, VOG4556
NZ_CP027611.1	22477	34060	False	Myoviridae / Siphoviridae	VOG0296, VOG9628, VOG5010, VOG5622, VOG4571, VOG0025, VOG4566, VOG6557, VOG2215, VOG0052, VOG6495, VOG9625, VOG1302, VOG7126, VOG6814, VOG0623, VOG1309, VOG4600, VOG10893
NZ_CP027611.1	2126126	2158068	False	Siphoviridae	VOG9628, VOG0327, VOG0156, VOG2096, VOG0618, VOG0292, VOG6488, VOG1518, VOG4564, VOG9895, VOG4611, VOG1329, VOG5830, VOG4704, VOG2119, VOG4552, VOG4228, VOG8399, VOG4910, VOG0847, VOG8343, VOG0848, VOG0850, VOG4701, VOG4598, VOG5412
NZ_CP027611.1	2197186	2222723	False	Siphoviridae	VOG0292, VOG9137, VOG6154, VOG2075, VOG4544, VOG4568, VOG4553, VOG6431, VOG4556, VOG0204, VOG4589, VOG9583, VOG0704, VOG3427, VOG4860, VOG0847, VOG8343, VOG0848, VOG0850, VOG4701, VOG4598, VOG5412
NZ_CP027611.1	2261840	2286389	False	Siphoviridae	VOG0292, VOG9137, VOG6154, VOG2075, VOG4544, VOG4568, VOG4553, VOG6431, VOG4556, VOG0204, VOG4589, VOG9583, VOG0704, VOG3427, VOG4860, VOG0847, VOG8343, VOG0848, VOG0850, VOG4701
NZ_CP027611.1	2503583	2512764	False	Myoviridae / Siphoviridae	VOG0322, VOG7510, VOG8392, VOG5709, VOG2215, VOG2338, VOG8393, VOG8394, VOG9565, VOG0107, VOG5375, VOG8427, VOG5142, VOG8430, VOG0296
NZ_CP027611.1	2517456	2542521	False	Siphoviridae	VOG5088, VOG10923, VOG5607, VOG5620, VOG7407, VOG1518, VOG4564, VOG8396, VOG8397, VOG2483, VOG4611, VOG1329, VOG3480, VOG5830, VOG4704, VOG8395, VOG4568, VOG2119, VOG8398, VOG4127, VOG5260, VOG4228, VOG8399, VOG4603, VOG9584, VOG4910, VOG5277
NZ_CP027611.1	3197795	3202334	False	Myoviridae	VOG0322, VOG5142, VOG7126, VOG5664, VOG9625, VOG2215
NZ_CP027611.1	3203635	3237107	False	Siphoviridae	VOG0025, VOG5622, VOG4732, VOG9628, VOG0327, VOG0156, VOG2096, VOG0618, VOG0292, VOG6488, VOG1518, VOG4564, VOG9895, VOG4611, VOG1329, VOG5830, VOG4704, VOG2119, VOG4552, VOG4228, VOG8399, VOG4910, VOG0847, VOG8343, VOG0848, VOG0850, VOG4701
NZ_CP027611.1	3718414	3739451	False	Siphoviridae	VOG2147, VOG0585, VOG2149, VOG0094, VOG2153, VOG2154, VOG0992, VOG4366, VOG4003, VOG4004, VOG4005, VOG4544, VOG4694, VOG1356, VOG4652, VOG0572, VOG2163, VOG6012, VOG2790, VOG2165, VOG6723
NZ_CP027611.1	3995901	3999371	False	Unknown	VOG10933, VOG2337, VOG2336, VOG7122
