scaffold	begin	end	transposable	taxonomy	vog
NZ_CP046406.2	554501	593749	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG11071, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2790, VOG2790, VOG6012, VOG2163, VOG0572, VOG10995, VOG1356, VOG4544, VOG4005, VOG6153, VOG4002, VOG4795, VOG10848, VOG4001, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG5472, VOG5531, VOG8525, VOG3992, VOG4791, VOG6086, VOG6855, VOG2153, VOG7620, VOG2154
NZ_CP046406.2	713505	735183	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG2073, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173
NZ_CP046406.2	1046014	1084778	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG4001, VOG9667, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG8526, VOG8525, VOG3992, VOG4791, VOG6855, VOG2153
NZ_CP046406.2	1100103	1138644	False	Siphoviridae	VOG2174, VOG0980, VOG4365, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG2163, VOG0572, VOG4652, VOG1356, VOG5023, VOG5413, VOG4576, VOG6856, VOG9452, VOG4751, VOG5412, VOG2154, VOG2153, VOG2152, VOG4791, VOG6306, VOG6086, VOG7153, VOG6580, VOG7153, VOG2149, VOG4892, VOG2147, VOG7465, VOG5454, VOG2788, VOG2142, VOG6171, VOG2786, VOG2215
NZ_CP046406.2	1209981	1245609	False	Siphoviridae	VOG2174, VOG0980, VOG4365, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG4546, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG2163, VOG0572, VOG4652, VOG1356, VOG7734, VOG5023, VOG5413, VOG4576, VOG6856, VOG4751, VOG5412, VOG2154, VOG2153, VOG2152, VOG2149, VOG4892, VOG2147, VOG8348, VOG5531, VOG5454, VOG2788, VOG2142, VOG6171
NZ_CP046406.2	1365299	1414563	True	Myoviridae / Siphoviridae	VOG0650, VOG7465, VOG4658, VOG3617, VOG7624, VOG8347, VOG2186, VOG0020, VOG10933, VOG6310, VOG2186, VOG0585, VOG6223, VOG2388, VOG2125, VOG7152, VOG10525, VOG0051, VOG1933, VOG0833, VOG4573, VOG3434, VOG0976, VOG2167, VOG0348, VOG10071, VOG3721, VOG6174, VOG6173, VOG4694, VOG3448, VOG3391, VOG0248, VOG6396, VOG0275, VOG0275, VOG0275, VOG7442
NZ_CP046406.2	2528940	2568182	False	Siphoviridae	VOG2154, VOG6855, VOG6086, VOG4791, VOG8526, VOG8527, VOG4892, VOG3993, VOG3995, VOG1564, VOG3998, VOG3999, VOG3556, VOG4000, VOG4001, VOG4795, VOG4002, VOG4003, VOG4004, VOG4005, VOG4544, VOG1356, VOG4652, VOG0572, VOG4807, VOG8529, VOG3178, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG9868, VOG4694, VOG11071, VOG2170, VOG2171, VOG2172, VOG1418, VOG1418, VOG1474, VOG1419, VOG1419, VOG1419, VOG4780, VOG0980
NZ_CP046406.2	3061088	3100199	False	Myoviridae	VOG2153, VOG4791, VOG2149, VOG5531, VOG8527, VOG4892, VOG3993, VOG3995, VOG10952, VOG3998, VOG3999, VOG3556, VOG4751, VOG4366, VOG8528, VOG4002, VOG0585, VOG7139, VOG6153, VOG4005, VOG4544, VOG1356, VOG4652, VOG0572, VOG4807, VOG3178, VOG4006, VOG2165, VOG9857, VOG10953, VOG0356, VOG0577, VOG10898, VOG6163, VOG4736, VOG0569, VOG0582, VOG0573, VOG4550, VOG4691, VOG0574, VOG10969, VOG2073, VOG4694
NZ_CP046406.2	3161594	3211006	False	Siphoviridae	VOG7442, VOG0275, VOG6256, VOG8243, VOG8243, VOG0942, VOG5623, VOG0244, VOG5531, VOG4658, VOG4548, VOG0982, VOG0083, VOG7884, VOG0719, VOG4360, VOG5752, VOG7473, VOG6865, VOG6864, VOG6413, VOG7472, VOG9467, VOG6394, VOG6418, VOG6418, VOG9466, VOG10897, VOG10933, VOG6971, VOG5994, VOG4566, VOG0025, VOG4693, VOG7106, VOG2388, VOG2125, VOG0796, VOG4544, VOG7470, VOG2464, VOG5027, VOG2466, VOG5296, VOG2467, VOG6400, VOG2468, VOG2469, VOG2471, VOG5601, VOG2473, VOG5277, VOG1539, VOG3179, VOG4743, VOG7568, VOG4547, VOG6174
NZ_CP046406.2	5029924	5061300	False	Myoviridae	VOG10071, VOG10071, VOG4545, VOG2167, VOG0976, VOG3434, VOG4573, VOG0833, VOG1933, VOG0051, VOG10525, VOG7152, VOG0198, VOG4609, VOG0585, VOG2186, VOG2215, VOG4552, VOG9349, VOG8347, VOG3278, VOG5087, VOG3060, VOG4658, VOG8348, VOG7465, VOG0221
