scaffold	begin	end	transposable	taxonomy	vog
NZ_CP054581.1	679451	700555	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG2073, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173
NZ_CP054581.1	1152299	1162575	True	Siphoviridae	VOG2703, VOG0275, VOG0275, VOG0275, VOG0248
NZ_CP054581.1	1276160	1320933	False	Siphoviridae	VOG2174, VOG0980, VOG4365, VOG4780, VOG1419, VOG1419, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG3556, VOG3999, VOG3998, VOG1564, VOG10952, VOG3995, VOG3993, VOG4892, VOG8526, VOG8525, VOG3992, VOG4791, VOG6086, VOG6855, VOG2153, VOG2154
NZ_CP054581.1	1842858	1882318	False	Siphoviridae	VOG2174, VOG0980, VOG4365, VOG4780, VOG1419, VOG1419, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG4001, VOG3556, VOG3999, VOG3998, VOG1564, VOG3995, VOG3993, VOG4892, VOG8526, VOG8525, VOG3992, VOG4791, VOG6086, VOG6855, VOG2153, VOG2154
NZ_CP054581.1	2529446	2583519	False	Siphoviridae	VOG0275, VOG8347, VOG7465, VOG0245, VOG0244, VOG5531, VOG8349, VOG0083, VOG7884, VOG0719, VOG4360, VOG5752, VOG7473, VOG6865, VOG6864, VOG6413, VOG6624, VOG9482, VOG6418, VOG5994, VOG0355, VOG4693, VOG7106, VOG2545, VOG2388, VOG2125, VOG0796, VOG4544, VOG1518, VOG4564, VOG4611, VOG1329, VOG3649, VOG1527, VOG4704, VOG2120, VOG2121, VOG0847, VOG0848, VOG0850, VOG5080, VOG0267, VOG4701, VOG4598, VOG5820, VOG5260, VOG4547, VOG3061, VOG6174
NZ_CP054581.1	3167657	3205445	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG2163, VOG5003, VOG0572, VOG4652, VOG1356, VOG5023, VOG4576, VOG6856, VOG9452, VOG4751, VOG5412, VOG2154, VOG2153, VOG6306, VOG6855, VOG6086, VOG7153, VOG6580, VOG2149, VOG4892, VOG2147, VOG7465, VOG8348, VOG5454, VOG2788, VOG2142
NZ_CP054581.1	3882457	3936111	True	Siphoviridae	VOG6173, VOG6174, VOG4547, VOG6965, VOG0979, VOG6965, VOG7568, VOG4743, VOG3179, VOG1539, VOG5277, VOG2473, VOG5601, VOG2471, VOG4813, VOG2469, VOG5047, VOG2468, VOG2467, VOG5296, VOG2466, VOG5027, VOG2464, VOG7470, VOG10227, VOG5620, VOG5607, VOG6438, VOG0296, VOG5837, VOG0292, VOG9665, VOG9749, VOG0189, VOG4636, VOG5084, VOG2338, VOG2215, VOG7107, VOG2913, VOG5472, VOG7530, VOG5995, VOG4945, VOG0321, VOG9738, VOG9737, VOG8467, VOG8466, VOG5472, VOG5333, VOG6057, VOG10893, VOG5623, VOG3450, VOG6256, VOG0275
NZ_CP054581.1	4127540	4193553	False	Podoviridae	VOG9495, VOG3448, VOG1523, VOG8350, VOG4565, VOG9493, VOG9492, VOG9491, VOG8859, VOG9490, VOG9489, VOG7696, VOG7695, VOG9488, VOG9487, VOG9486, VOG1593, VOG3878, VOG2105, VOG9204, VOG9485, VOG2101, VOG2100, VOG4731, VOG0254, VOG4544, VOG0612, VOG9484, VOG0296, VOG2339, VOG7481, VOG7886, VOG2338, VOG2215, VOG6418, VOG9483, VOG9482, VOG6413, VOG6864, VOG6865, VOG4843, VOG5995, VOG4945, VOG7885, VOG0982, VOG0226, VOG0239, VOG3490, VOG1422, VOG4567, VOG5531, VOG3449, VOG9508, VOG4548, VOG8348, VOG8348, VOG7465, VOG7480, VOG0275
NZ_CP054581.1	4696135	4700663	False	Unknown	VOG8855, VOG0021, VOG1047
NZ_CP054581.1	4719138	4747684	False	Siphoviridae	VOG5853, VOG4585, VOG9590, VOG4751, VOG6040, VOG2174, VOG4780, VOG1419, VOG1474, VOG1418, VOG2172, VOG2172, VOG2171, VOG2170, VOG9587, VOG5265, VOG2167, VOG5316, VOG5300, VOG5299, VOG5630, VOG1887, VOG3434, VOG4573, VOG0833, VOG0832, VOG0051, VOG4771
