scaffold	begin	end	transposable	taxonomy	vog
NZ_CP054845.1	543214	583807	False	Siphoviridae	VOG1063, VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4003, VOG4002, VOG8528, VOG4795, VOG4001, VOG9667, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG10952, VOG3995, VOG3993, VOG3993, VOG3993, VOG4892, VOG8526, VOG3992, VOG4791, VOG2153
NZ_CP054845.1	792653	815497	False	Myoviridae / Siphoviridae	VOG4658, VOG3617, VOG7624, VOG8347, VOG2186, VOG0020, VOG10933, VOG6310, VOG2186, VOG0585, VOG6223, VOG2388, VOG2125, VOG7152, VOG10525, VOG0051, VOG1933, VOG0833, VOG4573, VOG3434, VOG0976, VOG2167
NZ_CP054845.1	1008413	1009128	False	Siphoviridae	VOG2485, VOG2039
NZ_CP054845.1	1107340	1131506	False	Myoviridae	VOG7110, VOG0376, VOG2202, VOG10925, VOG2204, VOG2205, VOG11073, VOG7243, VOG2206, VOG4691, VOG2207, VOG2216, VOG0299, VOG4565, VOG8376, VOG0585, VOG2210, VOG2211, VOG2212, VOG2213, VOG0568, VOG0567, VOG0764, VOG0566, VOG3897, VOG4556, VOG0583, VOG2485
NZ_CP054845.1	1647310	1699964	True	Myoviridae	VOG0221, VOG7465, VOG8348, VOG4658, VOG3060, VOG5087, VOG3278, VOG8347, VOG9349, VOG4552, VOG2215, VOG2186, VOG0585, VOG4609, VOG0198, VOG7152, VOG10525, VOG0051, VOG1933, VOG0833, VOG4573, VOG3434, VOG0976, VOG2167, VOG4545, VOG10071, VOG3721, VOG6174, VOG6173, VOG4694, VOG3448, VOG3391, VOG0248, VOG6396, VOG0275, VOG0275, VOG0275, VOG7442
NZ_CP054845.1	3891488	3940900	False	Siphoviridae	VOG6173, VOG6174, VOG4547, VOG7568, VOG4743, VOG3179, VOG1539, VOG5277, VOG2473, VOG5601, VOG2471, VOG2469, VOG2468, VOG6400, VOG2467, VOG5296, VOG2466, VOG5027, VOG2464, VOG7470, VOG4544, VOG0796, VOG2125, VOG2388, VOG7106, VOG4693, VOG0025, VOG4566, VOG5994, VOG6971, VOG10933, VOG10897, VOG9466, VOG6418, VOG6418, VOG6394, VOG9467, VOG7472, VOG6413, VOG6864, VOG6865, VOG7473, VOG5752, VOG4360, VOG0719, VOG7884, VOG0083, VOG0982, VOG4548, VOG4658, VOG5531, VOG0244, VOG5623, VOG0942, VOG8243, VOG8243, VOG6256, VOG0275
NZ_CP054845.1	4349164	4386811	False	Siphoviridae	VOG2215, VOG2786, VOG6171, VOG2142, VOG2788, VOG5454, VOG5531, VOG7465, VOG2147, VOG4892, VOG3992, VOG6580, VOG7153, VOG6086, VOG6306, VOG2152, VOG2153, VOG2154, VOG5412, VOG4751, VOG9452, VOG6856, VOG4576, VOG5023, VOG1356, VOG4652, VOG0572, VOG7913, VOG5003, VOG2163, VOG2790, VOG6404, VOG2164, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG4546, VOG2170, VOG2171, VOG2172, VOG1418, VOG1474, VOG2173, VOG1419, VOG4780, VOG0980, VOG2174
NZ_CP054845.1	5262928	5305669	False	Siphoviridae	VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG4001, VOG9667, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG8526, VOG8525, VOG3992, VOG4791, VOG6855, VOG2153, VOG2154, VOG0052, VOG6495
NZ_CP054845.1	5386916	5408594	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG2073, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173
NZ_CP054845.1	5753774	5792540	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG4001, VOG9667, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG8526, VOG8525, VOG3992, VOG4791, VOG4791, VOG2153
