scaffold	begin	end	transposable	taxonomy	vog
NZ_CP059995.1	658146	701742	False	Myoviridae	VOG5774, VOG3998, VOG2202, VOG10925, VOG2204, VOG2205, VOG11073, VOG7243, VOG2206, VOG4691, VOG2207, VOG2216, VOG0299, VOG4565, VOG8376, VOG0585, VOG2210, VOG2211, VOG2212, VOG2213, VOG0568, VOG0567, VOG0764, VOG0566, VOG3897, VOG4556, VOG0583, VOG2485, VOG8435, VOG3379, VOG6627, VOG0275, VOG0979, VOG0052, VOG4551
NZ_CP059995.1	733893	766288	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173, VOG3427, VOG3428, VOG4735, VOG0847, VOG0848, VOG0850, VOG4701, VOG4598, VOG3569, VOG9340, VOG4365, VOG0980
NZ_CP059995.1	2832089	2886897	False	Siphoviridae	VOG0275, VOG9547, VOG7480, VOG7465, VOG8348, VOG3449, VOG0244, VOG5531, VOG4658, VOG5297, VOG4571, VOG0083, VOG7884, VOG0719, VOG4360, VOG5752, VOG7416, VOG7473, VOG6865, VOG6864, VOG6413, VOG9482, VOG6418, VOG5994, VOG8524, VOG0025, VOG4693, VOG4813, VOG7106, VOG2388, VOG2125, VOG7529, VOG9638, VOG9637, VOG9438, VOG7511, VOG9636, VOG4556, VOG4573, VOG4553, VOG9632, VOG5873, VOG8431, VOG3446, VOG9583, VOG3427, VOG3428, VOG4735, VOG5277, VOG1539, VOG3179, VOG4743, VOG7568, VOG4603, VOG4552, VOG4547, VOG6174, VOG6173, VOG3448
NZ_CP059995.1	3600201	3606372	False	Myoviridae	VOG1348, VOG1348, VOG0573, VOG1956, VOG10904, VOG0221, VOG4654
NZ_CP059995.1	4905215	4918269	False	Myoviridae	VOG10909, VOG1924, VOG4691, VOG0573, VOG1348, VOG1433, VOG1956, VOG4905, VOG4699, VOG1352, VOG11079, VOG2125, VOG2388
NZ_CP059995.1	5018620	5041382	False	Myoviridae / Siphoviridae / Podoviridae	VOG10071, VOG4545, VOG2167, VOG0976, VOG3434, VOG4573, VOG0833, VOG1933, VOG0051, VOG0975, VOG7152, VOG3721, VOG0615, VOG6438, VOG0275, VOG0025, VOG0189, VOG2383, VOG4552
NZ_CP059995.1	5156409	5197800	True	Myoviridae	VOG4556, VOG3897, VOG0566, VOG0764, VOG0567, VOG0568, VOG0569, VOG2388, VOG2125, VOG4616, VOG4645, VOG0571, VOG0572, VOG0573, VOG4550, VOG4691, VOG0574, VOG9995, VOG2073, VOG0356, VOG0577, VOG4630, VOG4736, VOG0582, VOG3556, VOG2186, VOG0583, VOG8435, VOG0585, VOG9749, VOG8349, VOG1422, VOG9702, VOG10595, VOG0275, VOG0275, VOG2703
NZ_CP059995.1	5251130	5260102	False	Siphoviridae	VOG3999, VOG3998, VOG1564, VOG3995, VOG3993, VOG4892, VOG8527, VOG3992, VOG4791, VOG6855, VOG2153
NZ_CP059995.1	5290662	5323016	True	Siphoviridae	VOG7805, VOG0275, VOG0944, VOG3556, VOG4001, VOG10848, VOG4795, VOG4002, VOG6153, VOG4005, VOG4544, VOG1356, VOG10995, VOG0572, VOG2163, VOG6012, VOG2790, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG11071, VOG2170, VOG2171, VOG2172, VOG1418, VOG1474, VOG1419, VOG4780, VOG4365
NZ_CP059995.1	5598228	5622685	False	Myoviridae	VOG0267, VOG4556, VOG3897, VOG0566, VOG0764, VOG0567, VOG0568, VOG2213, VOG2212, VOG2211, VOG2210, VOG0585, VOG8376, VOG4565, VOG0299, VOG2216, VOG2207, VOG4691, VOG2206, VOG7243, VOG11073, VOG2205, VOG2204, VOG10925, VOG2202, VOG0376
NZ_CP059995.1	6581806	6583244	False	Unknown	VOG3772, VOG8241
